check folder at path: /Volumes/A_2TB_SSD/mc_ev3_dst/mc_ev3_src
verification (xxh128) of file DCIM/A001/A002_C4649_004649.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4651_004651.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4653_004653.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4655_004655.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4657_004657.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4659_004659.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4661_004661.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4663_004663.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4665_004665.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4667_004667.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4669_004669.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4671_004671.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4673_004673.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4675_004675.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4677_004677.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4679_004679.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4681_004681.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4683_004683.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4685_004685.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4687_004687.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4689_004689.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4691_004691.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4693_004693.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4695_004695.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4697_004697.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4699_004699.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4701_004701.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4703_004703.braw: OK
